Unconfident Receiver started. PID: 276096
Main thread doing heavy math. Waiting for signals...
Thread 3 noticed the event! Delay: 2259 microseconds
Thread 2 noticed the event! Delay: 16 microseconds
Thread 4 noticed the event! Delay: 3004 microseconds
Thread 1 noticed the event! Delay: 9 microseconds
Thread 3 noticed the event! Delay: 2041 microseconds
Thread 2 noticed the event! Delay: 5043 microseconds
Thread 4 noticed the event! Delay: 11 microseconds
Thread 4 noticed the event! Delay: 20 microseconds
Thread 1 noticed the event! Delay: 937 microseconds
Thread 3 noticed the event! Delay: 1870 microseconds
Thread 2 noticed the event! Delay: 4863 microseconds
Thread 4 noticed the event! Delay: 14 microseconds
Thread 4 noticed the event! Delay: 16 microseconds
Thread 1 noticed the event! Delay: 733 microseconds
Thread 3 noticed the event! Delay: 1653 microseconds
Thread 2 noticed the event! Delay: 4653 microseconds
Thread 4 noticed the event! Delay: 12 microseconds
Thread 4 noticed the event! Delay: 9 microseconds
Thread 1 noticed the event! Delay: 558 microseconds
Thread 3 noticed the event! Delay: 1463 microseconds
Thread 2 noticed the event! Delay: 4468 microseconds
Thread 4 noticed the event! Delay: 12 microseconds
Thread 4 noticed the event! Delay: 9 microseconds
Thread 1 noticed the event! Delay: 339 microseconds
Thread 3 noticed the event! Delay: 1234 microseconds
Thread 2 noticed the event! Delay: 4236 microseconds
Thread 4 noticed the event! Delay: 14 microseconds
Thread 4 noticed the event! Delay: 18 microseconds
Thread 1 noticed the event! Delay: 112 microseconds
Thread 3 noticed the event! Delay: 6136 microseconds
Thread 2 noticed the event! Delay: 9135 microseconds
Thread 1 noticed the event! Delay: 2233 microseconds
Thread 3 noticed the event! Delay: 20 microseconds
Thread 2 noticed the event! Delay: 3003 microseconds
Thread 2 noticed the event! Delay: 10 microseconds
Thread 4 noticed the event! Delay: 1082 microseconds
Thread 1 noticed the event! Delay: 2016 microseconds
Thread 3 noticed the event! Delay: 18 microseconds
Thread 2 noticed the event! Delay: 2989 microseconds
Thread 2 noticed the event! Delay: 29 microseconds
Thread 4 noticed the event! Delay: 894 microseconds
Thread 1 noticed the event! Delay: 1822 microseconds
Thread 3 noticed the event! Delay: 4814 microseconds
Thread 2 noticed the event! Delay: 25 microseconds
Thread 2 noticed the event! Delay: 7 microseconds
Thread 4 noticed the event! Delay: 670 microseconds
Thread 1 noticed the event! Delay: 1618 microseconds
Thread 3 noticed the event! Delay: 4603 microseconds
Thread 2 noticed the event! Delay: 23 microseconds
Thread 2 noticed the event! Delay: 23 microseconds
Thread 4 noticed the event! Delay: 471 microseconds
Thread 1 noticed the event! Delay: 1390 microseconds
Thread 3 noticed the event! Delay: 4393 microseconds
Thread 2 noticed the event! Delay: 24 microseconds
Thread 2 noticed the event! Delay: 10 microseconds
Thread 4 noticed the event! Delay: 245 microseconds
Thread 1 noticed the event! Delay: 1180 microseconds
Thread 3 noticed the event! Delay: 4173 microseconds
Thread 2 noticed the event! Delay: 19 microseconds
Thread 4 noticed the event! Delay: 22 microseconds
Thread 1 noticed the event! Delay: 6040 microseconds
Thread 3 noticed the event! Delay: 9049 microseconds
Thread 1 noticed the event! Delay: 2640 microseconds
Thread 3 noticed the event! Delay: 17 microseconds
Thread 2 noticed the event! Delay: 3004 microseconds
Thread 2 noticed the event! Delay: 25 microseconds
Thread 4 noticed the event! Delay: 1509 microseconds
Thread 1 noticed the event! Delay: 2434 microseconds
Thread 3 noticed the event! Delay: 25 microseconds
Thread 2 noticed the event! Delay: 3012 microseconds
Thread 2 noticed the event! Delay: 21 microseconds
Thread 4 noticed the event! Delay: 1319 microseconds
Thread 1 noticed the event! Delay: 2238 microseconds
Thread 3 noticed the event! Delay: 24 microseconds
Thread 2 noticed the event! Delay: 3016 microseconds
Thread 2 noticed the event! Delay: 24 microseconds
Thread 4 noticed the event! Delay: 1091 microseconds
Thread 1 noticed the event! Delay: 2023 microseconds
Thread 3 noticed the event! Delay: 5035 microseconds
Thread 2 noticed the event! Delay: 28 microseconds
Thread 2 noticed the event! Delay: 9 microseconds
Thread 4 noticed the event! Delay: 897 microseconds
Thread 1 noticed the event! Delay: 1824 microseconds
Thread 3 noticed the event! Delay: 4809 microseconds
Thread 2 noticed the event! Delay: 16 microseconds
Thread 2 noticed the event! Delay: 21 microseconds
Thread 4 noticed the event! Delay: 698 microseconds
Thread 1 noticed the event! Delay: 1639 microseconds
Thread 3 noticed the event! Delay: 4654 microseconds
Thread 2 noticed the event! Delay: 26 microseconds
Thread 2 noticed the event! Delay: 13 microseconds
Thread 4 noticed the event! Delay: 519 microseconds
Thread 1 noticed the event! Delay: 1464 microseconds
Thread 3 noticed the event! Delay: 4461 microseconds
Thread 2 noticed the event! Delay: 7481 microseconds
Thread 4 noticed the event! Delay: 10467 microseconds
